Game,GameDate,PlayerID,GroupID,Level,Order,Track,Car,Body,Engine,Tire,Finished,FinishTime,TopSpeedReached,TimeTo30,TimeTo60,TimeTo100,CheckPoint1,CheckPoint2,CheckPoint3,TimeOnTrack,TimeOffTrack,Mass,Drag,Traction,FullTorqueOverAllWheel,TopSpeed,TireRadius
1504,8/29/2019 11:08,hd,geog391,CreateCar,4,OvalTrack,25,Gauss,Gauss,Bayes,1,26.21,74.48,5.92,16.97,-1,9.94,17.96,27.61,20.58,5.62,1500,0.05,1,2500,150,0.4
1345,8/27/2019 12:08,ilovestats,geog391,Paired,1,OvalTrack,1,Bayes,Bayes,Bayes,1,28.78,49.5,6.71,-1,-1,9.15,13.39,17.11,26.96,1.81,1500,0.15,1,2500,150,0.4
1383,8/27/2019 12:11,ilovestats,geog391,Paired,2,OvalTrack,7,Bayes,Gauss,Bayes,1,26.23,60.88,6.98,18.54,-1,9.15,13.39,17.11,24.14,2.08,1500,0.1,1,2500,150,0.4
1424,8/27/2019 12:13,ilovestats,geog391,CreateCar,3,OvalTrack,19,Gauss,Bayes,Bayes,1,28.58,50.46,6.43,-1,-1,9.15,13.39,17.11,26.54,2.03,1500,0.1,1,2150,150,0.4
1443,8/27/2019 12:39,ilovestats,geog391,CreateCar,4,OvalTrack,25,Gauss,Gauss,Bayes,1,23.73,71.26,8.1,17.88,-1,9.15,13.39,17.11,21.96,1.76,1500,0.05,1,2500,150,0.4
1378,8/27/2019 12:11,jacko,geog391,Paired,1,OvalTrack,1,Bayes,Bayes,Bayes,1,28.99,50.01,7.57,-1,-1,9.14,12.81,15.86,27.04,1.94,1500,0.15,1,2500,150,0.4
1409,8/27/2019 12:12,jacko,geog391,Paired,2,OvalTrack,7,Bayes,Gauss,Bayes,1,24.24,61.2,6.92,17.6,-1,9.14,12.81,15.86,23.61,0.62,1500,0.1,1,2500,150,0.4
1475,8/29/2019 11:05,janisrae,geog391,CreateCar,1,OvalTrack,19,Gauss,Bayes,Bayes,1,23.99,62.15,7.97,21.96,-1,10.92,16.72,22.54,23.99,0,1500,0.1,1,2150,150,0.4
1350,8/27/2019 12:09,janisrae,geog391,Paired,2,OvalTrack,1,Bayes,Bayes,Bayes,1,27.43,49.83,6.41,-1,-1,10.52,14.77,18.49,26.11,1.31,1500,0.15,1,2500,150,0.4
1380,8/27/2019 12:11,janisrae,geog391,CreateCar,3,OvalTrack,25,Gauss,Gauss,Bayes,1,22.64,69.53,5.98,15,-1,10.52,14.77,18.49,20.41,2.23,1500,0.05,1,2500,150,0.4
1408,8/27/2019 12:12,janisrae,geog391,Paired,4,OvalTrack,7,Bayes,Gauss,Bayes,1,21.81,65.58,5.6,16.34,-1,10.52,14.77,18.49,21.35,0.46,1500,0.1,1,2500,150,0.4
1445,8/27/2019 17:09,jtpau,geog391,Paired,1,OvalTrack,1,Bayes,Bayes,Bayes,1,23.9,55.05,6.64,-1,-1,14.37,18.59,22.48,23.9,0,1500,0.15,1,2500,150,0.4
1447,8/27/2019 17:11,jtpau,geog391,Paired,2,OvalTrack,7,Bayes,Gauss,Bayes,1,21.37,72.39,6.92,14.48,-1,14.37,18.59,22.48,21.37,0,1500,0.1,1,2500,150,0.4
1449,8/27/2019 17:13,jtpau,geog391,CreateCar,3,OvalTrack,19,Gauss,Bayes,Bayes,1,22.21,63.68,6.49,19.09,-1,14.37,18.59,22.48,22.21,0,1500,0.1,1,2150,150,0.4
1451,8/27/2019 17:14,jtpau,geog391,CreateCar,4,OvalTrack,25,Gauss,Gauss,Bayes,1,20.11,83.66,5.91,10.88,-1,14.37,18.59,22.48,18.74,1.36,1500,0.05,1,2500,150,0.4
